[2024-09-22 11:44:45] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-bottom-right.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css
[2024-09-22 11:44:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/portfolio/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.css
